ts,host,user,event,severity,ip,message,source
2026-12-09T11:12:19Z,GW-24.secure.bank,chatura.mason,SYSCALL,HIGH,192.168.184.128,SYSCALL: chatura.mason performed audit operation,auditd
2027-02-22T08:11:13Z,GW-09-uat,rsmith41,write_binary_dir,HIGH,35.237.79.52,write_binary_dir: rsmith41 performed transfer operation,falco
2026-06-26T04:36:48Z,COMP-38,anusha.konda,Blocked,HIGH,10.153.132.25,Blocked: anusha.konda performed reconciliation operation,sentinel_one
2026-09-17T14:51:49Z,HR-56-uat.core.banking,sysadmin,ssl,LOW,158.250.251.15,ssl: sysadmin performed audit operation,zeek
2026-06-25T06:33:27Z,FINANCE-51,ricky.robinson,Prevention,LOW,10.199.186.102,Prevention: ricky.robinson performed swift operation,crowdstrike
2027-01-16T13:30:44Z,APP-74-prod.financial.local,luke_hernandez,EXECVE,LOW,192.168.74.75,EXECVE: luke_hernandez performed payment operation,auditd
2026-06-05T21:57:30Z,,jamie_sandoval,workflow_run,HIGH,217.199.127.124,workflow_run: jamie_sandoval performed balance operation,github_actions
2027-02-22T01:56:01Z,ATM-72-sandbox,ariana.hughes21,MailItemsAccessed,UNKNOWN,83.203.177.85,MailItemsAccessed: ariana.hughes21 performed swift operation,office365
2026-08-20T16:02:26Z,WKS-88-prod,benjamin_lamb,ssl,HIGH,131.0.247.102,ssl: benjamin_lamb performed transfer operation,zeek
2026-09-07T20:00:58Z,SWIFT-35.secure.bank,treasury,ApplicationManagement,HIGH,,ApplicationManagement: treasury performed settlement operation,azure_ad
2026-09-03T19:05:58Z,RISK-25,mdixon,Threat,HIGH,172.26.74.132,Threat: mdixon performed swift operation,sentinel_one
2026-10-22T21:00:09Z,FS-16,uviswanathan,4672,LOW,192.168.70.39,4672: uviswanathan performed transfer operation,windows_security
2026-04-04T13:17:38Z,GW-76.financial.local,settlement,13,LOW,83.185.43.241,13: settlement performed swift operation,sysmon
2027-02-01T18:25:59Z,COMP-06-prod.secure.bank,agreen98,workflow_run,LOW,27.28.139.49,workflow_run: agreen98 performed swift operation,github_actions
2027-01-07T02:13:32Z,PROXY-89,ekalinga_benjamin,Threat,MEDIUM,6.0.183.174,,sentinel_one
2026-04-04T18:04:27Z,ATM-79,handerson47,SQL_Injection,CRITICAL,192.168.83.73,SQL_Injection: handerson47 performed payment operation,cloud_waf
2026-09-30T04:02:05Z,CORE_BANK-34,lila_goodwin,workflow_run,LOW,192.168.182.79,workflow_run: lila_goodwin performed swift operation,github_actions
2026-04-20T10:01:45Z,PAY-53,svc_monitor,CreateAccessKey,LOW,20.134.154.227,CreateAccessKey: svc_monitor performed swift operation,aws_cloudtrail
2026-03-20T09:46:46Z,FS-01-sandbox.bank.internal,harriet_guerrero,Prevention,CRITICAL,133.226.180.93,Prevention: harriet_guerrero performed audit operation,crowdstrike
2026-03-06T01:35:58Z,APP-57,svc_cicd_prod,THREAT,LOW,192.168.184.137,THREAT: svc_cicd_prod performed balance operation,palo_alto
2026-10-21T12:43:38Z,DC-06,cthompson,ApplicationManagement,LOW,57.188.255.24,ApplicationManagement: cthompson performed swift operation,azure_ad
,HR-76-uat,treasury,FileDownloaded,LOW,106.33.87.99,FileDownloaded: treasury performed reconciliation operation,sharepoint
2026-12-17T14:00:20Z,PAY-95.bank.internal,zaitra.whitaker,106023,HIGH,192.168.82.162,106023: zaitra.whitaker performed audit operation,cisco_asa
2026-10-27T12:17:54Z,COMP-54.secure.bank,cjones13,write_binary_dir,LOW,192.168.86.2,write_binary_dir: cjones13 performed balance operation,falco
2026-07-10T08:09:55Z,CRM-99.financial.local,svc_scanner_prod,URL,MEDIUM,192.168.43.102,URL: svc_scanner_prod performed balance operation,palo_alto
2026-12-10T21:58:36Z,APP-58,robert.mody,4688,LOW,172.22.37.147,"A new process was created. Process: tomcat9.exe_v2.3, Command line: curl -X GET https://mejia-martin.com/api/health",windows_security
invalid-timestamp,COMP-61.financial.local,svc_monitor_prod,22,MEDIUM,10.122.204.160,22: svc_monitor_prod performed clearing operation,sysmon
2026-10-06T17:41:52Z,HR-96.secure.bank,svc_cicd_prod,302015,LOW,121.77.194.186,302015: svc_cicd_prod performed payment operation,cisco_asa
2026-05-28T06:44:40Z,RISK-51.core.banking,fdeshpande,Path_Traversal,MEDIUM,221.124.196.225,Path_Traversal: fdeshpande performed settlement operation,cloud_waf
2026-05-15T13:10:26Z,COMP-92.secure.bank,maria_jackson,Audit,CRITICAL,192.168.65.178,Audit log: read performed by maria_jackson,azure_ad
2027-01-14T13:12:07Z,RISK-83.financial.local,nbarrett,Quarantine,HIGH,96.137.136.16,Quarantine: nbarrett performed settlement operation,crowdstrike
2026-07-26T04:58:50Z,OPS-33,lisa.dugar,write_binary_dir,MEDIUM,172.29.164.23,write_binary_dir: lisa.dugar performed audit operation,falco
2026-12-10T09:03:50Z,WKS-79-sandbox,daniel_sanders,302015,MEDIUM,221.43.60.135,302015: daniel_sanders performed audit operation,cisco_asa
2027-01-27T03:44:28Z,CORE-33-prod,hmutti,CreateUser,MEDIUM,172.31.4.157,CreateUser: hmutti performed transfer operation,aws_cloudtrail
2026-12-04T16:01:29Z,DB-32-dr,tanya.om,XSS,LOW,214.247.46.193,XSS: tanya.om performed settlement operation,cloud_waf
2027-01-12T10:05:24Z,SWIFT-99,toby.adams,FileDeleted,MEDIUM,192.168.102.32,FileDeleted: toby.adams performed reconciliation operation,sharepoint
2026-11-17T16:32:42Z,MON-15,lynn.gill,Prevention,LOW,10.32.37.134,Prevention: lynn.gill performed reconciliation operation,crowdstrike
2026-09-22T03:08:21Z,SWIFT-25-dev,svc_etl_prod,CreateAccessKey,LOW,10.3.65.84,CreateAccessKey: svc_etl_prod performed transaction operation,aws_cloudtrail
,FINANCE-70.bank.internal,jsalazar,10,MEDIUM,214.176.30.180,Process accessed: sqlservr.exe accessed kubelet,sysmon
2026-11-12T19:06:20Z,CORE_BANK-33,svc_cicd_prod30,Threat,LOW,172.16.253.188,Threat: svc_cicd_prod30 performed payment operation,sentinel_one
2026-06-10T18:18:58Z,PAY-58.bank.internal,yamini.bond,CreateAccessKey,LOW,10.213.66.21,CreateAccessKey: yamini.bond performed clearing operation,aws_cloudtrail
2026-04-25T23:06:04Z,DB-99-prod.core.banking,jeffrey.cardenas51,12,HIGH,219.72.253.134,12: jeffrey.cardenas51 performed transaction operation,sysmon
2026-07-19T16:37:09Z,CORE-83.secure.bank,twhite,22,MEDIUM,172.30.43.203,22: twhite performed swift operation,sysmon
2026-06-13T13:05:35Z,PAYMENT-88,michele_sawhney,4648,LOW,202.231.153.13,4648: michele_sawhney performed payment operation,windows_security
2026-10-28T03:27:17Z,FS-34,wendy_berry,11,MEDIUM,192.168.241.141,11: wendy_berry performed clearing operation,sysmon
2026-12-04T09:41:12Z,ATM-59.core.banking,svc_secrets,4698,HIGH,10.125.172.65,4698: svc_secrets performed reconciliation operation,windows_security
2026-12-30T10:27:22Z,WKS-67,charan_vazquez,THREAT,UNKNOWN,172.18.188.61,THREAT: charan_vazquez performed clearing operation,palo_alto
2026-05-25T20:12:40Z,TRADING-51,,TRAFFIC,HIGH,37.206.15.94,TRAFFIC: edward.cochran performed settlement operation,palo_alto
2026-10-06T22:07:29Z,DC-28,amorgan62,3,MEDIUM,192.168.244.226,Network connection: java.exe_v6.4 connected to COMP-85-sandbox:3306,sysmon
2026-06-27T18:22:58Z,CORE_BANK-35-prod,tshannon,MailItemsAccessed,MEDIUM,52.115.122.149,MailItemsAccessed: tshannon performed payment operation,office365
2026-03-07T04:04:08Z,WKS-84.bank.internal,ganne,SYSCALL,UNKNOWN,76.38.130.238,SYSCALL: ganne performed transaction operation,auditd
2026-11-20T01:07:11Z,ATM-86,ewright,Prevention,LOW,38.61.6.64,Prevention: ewright performed audit operation,crowdstrike
2026-08-30T13:54:22Z,ATM-30-dev,svc_deploy_prod27,Quarantine,LOW,36.102.2.46,Quarantine: svc_deploy_prod27 performed settlement operation,crowdstrike
2027-02-02T02:07:58Z,OPS-99,eboase,SYSCALL,LOW,172.24.114.31,SYSCALL: eboase performed swift operation,auditd
2026-03-29T15:59:55Z,CORE-55,alewis,Quarantine,LOW,72.101.128.143,Quarantine: alewis performed payment operation,crowdstrike
2026-10-06T02:55:17Z,MON-37-dr,bhammond,11,LOW,172.17.77.181,,sysmon
2026-08-21T16:22:01Z,CORE_BANK-94.financial.local,internal_audit,Detection,LOW,10.17.240.236,Detection: internal_audit performed transaction operation,crowdstrike
2026-11-10T23:56:02Z,ATM-88,sshroff77,Blocked,CRITICAL,16.156.184.163,Blocked: sshroff77 performed payment operation,sentinel_one
2026-07-14T10:16:29Z,SWIFT-99-dev,shannon_jones,SYSCALL,LOW,68.29.138.210,SYSCALL: shannon_jones performed transaction operation,auditd
2026-12-22T01:37:54Z,WEB-89,svc_etl,CreateAccessKey,LOW,172.27.134.185,CreateAccessKey: svc_etl performed payment operation,aws_cloudtrail
2027-01-21T14:12:21Z,CORE_BANK-46,,Detection,LOW,192.168.49.13,Detection: mjohnson performed transaction operation,crowdstrike
2026-03-19T00:03:40Z,OPS-20-sandbox,leigh.walia,Prevention,LOW,39.146.150.249,Prevention: leigh.walia performed swift operation,crowdstrike
2026-04-15T01:43:32Z,WKS-39.financial.local,ana.parkes,7,MEDIUM,23.150.68.141,7: ana.parkes performed audit operation,sysmon
2026-08-13T11:57:13Z,SWIFT-62,svc_replication,PATH,LOW,161.59.114.14,PATH: svc_replication performed reconciliation operation,auditd
2026-07-14T20:00:34Z,FINANCE-23,svc_cicd,4698,LOW,172.20.93.100,4698: svc_cicd performed reconciliation operation,windows_security
2026-12-18T18:31:36Z,CORE-77-dev,svc_monitor_prod24,Quarantine,HIGH,134.165.205.34,Quarantine: svc_monitor_prod24 performed settlement operation,crowdstrike
2026-04-28T12:42:36Z,OPS-81.financial.local,svc_deploy,Quarantine,MEDIUM,192.168.135.1,Quarantine: svc_deploy performed payment operation,crowdstrike
2027-01-09T12:31:50Z,DB-23-dev,internal_audit,PATH,LOW,65.1.13.213,PATH: internal_audit performed swift operation,auditd
2026-04-18T08:14:02Z,BRANCH-45.core.banking,jkoshy,4698,HIGH,172.21.140.54,4698: jkoshy performed clearing operation,windows_security
2026-07-15T05:41:17Z,CORE-48.financial.local,svc_deploy,Suspicious,LOW,70.9.225.190,Suspicious: svc_deploy performed transfer operation,sentinel_one
2026-05-20T02:47:48Z,CRM-78.core.banking,root,13,CRITICAL,172.21.196.165,13: root performed settlement operation,sysmon
2026-08-16T19:56:08Z,DB-20-uat.secure.bank,settlement,dns,HIGH,10.218.109.27,dns: settlement performed transfer operation,zeek
2026-09-10T17:24:13Z,DC-98-sandbox.secure.bank,robert.pingle2,Blocked,CRITICAL,192.168.97.166,Blocked: robert.pingle2 performed audit operation,sentinel_one
2026-06-16T20:35:22Z,CRM-65-prod.secure.bank,falak_halder,Send,CRITICAL,75.95.227.204,Send: falak_halder performed audit operation,office365
2026-09-24T16:39:53Z,BRANCH-85,domain_admin,4624,LOW,144.46.140.29,"An account was successfully logged on. Account: domain_admin, Source IP: 144.46.140.29",windows_security
2026-06-23T09:48:38Z,OPS-89-uat.core.banking,svc_scanner53,CreateUser,LOW,192.168.227.120,CreateUser: svc_scanner53 performed audit operation,aws_cloudtrail
2026-10-21T15:33:02Z,OPS-54-prod.financial.local,kayla.randhawa,XSS,MEDIUM,172.26.75.154,XSS: kayla.randhawa performed payment operation,cloud_waf
2027-02-04T16:57:50Z,RISK-67.financial.local,compliance,action_execution,MEDIUM,19.219.202.99,action_execution: compliance performed balance operation,github_actions
2027-02-16T23:19:08Z,,chameli_saha,Blocked,LOW,17.201.88.187,Blocked: chameli_saha performed clearing operation,sentinel_one
2026-07-18T20:46:55Z,WKS-31-sandbox,barry.delacruz39,4648,LOW,172.30.197.48,4648: barry.delacruz39 performed transfer operation,windows_security
2026-08-04T13:15:01Z,APP-18,gregory.spencer,FileDeleted,UNKNOWN,172.23.99.133,FileDeleted: gregory.spencer performed clearing operation,sharepoint
2026-06-08T14:16:24Z,WEB-44.core.banking,svc_secrets_prod,PROCTITLE,LOW,192.168.20.141,PROCTITLE: svc_secrets_prod performed balance operation,auditd
2026-03-05T03:10:07Z,AUDIT-49,settlement,XSS,LOW,172.18.239.4,XSS: settlement performed reconciliation operation,cloud_waf
2026-07-12T11:18:58Z,TRADING-24,sysadmin,FileUploaded,LOW,40.192.182.130,FileUploaded: sysadmin performed transfer operation,sharepoint
2026-11-03T17:58:52Z,OPS-66-prod,sallen,dns,MEDIUM,62.106.0.58,dns: sallen performed payment operation,zeek
2026-08-18T02:36:47Z,MON-01.secure.bank,sphillips21,SignIn,CRITICAL,172.21.36.185,,azure_ad
2026-11-30T02:55:05Z,PROXY-30,svc_backup_prod,smb_files,HIGH,150.199.23.198,smb_files: svc_backup_prod performed reconciliation operation,zeek
2026-12-27T15:18:09Z,OPS-63,kayla_page,smb_files,LOW,102.64.129.83,smb_files: kayla_page performed clearing operation,zeek
2027-02-10T21:06:21Z,DB-59-dev,bradley.pillay5,4625,CRITICAL,192.168.152.76,"An account failed to log on. Account: bradley.pillay5, Source IP: 192.168.152.76",windows_security
2026-12-08T05:04:45Z,MON-92-uat.core.banking,jhowell,FileDownloaded,LOW,30.132.97.164,FileDownloaded: jhowell performed audit operation,office365
2026-05-29T03:46:40Z,FS-27-dev.financial.local,jennifer_roth,FileDownloaded,MEDIUM,10.224.30.167,FileDownloaded: jennifer_roth performed swift operation,office365
2027-01-06T08:27:07Z,CORE_BANK-53.secure.bank,internal_audit,FileDeleted,MEDIUM,10.106.246.30,FileDeleted: internal_audit performed transfer operation,sharepoint
2026-06-03T19:55:39Z,CORE_BANK-34,laura.murray14,Detection,LOW,216.82.92.23,Detection: laura.murray14 performed clearing operation,crowdstrike
2026-03-29T02:50:53Z,WKS-86-dev.secure.bank,cheyenne.smith,THREAT,LOW,192.168.127.25,THREAT: cheyenne.smith performed balance operation,palo_alto
2026-11-25T16:12:10Z,DB-67-dr,azad.hall46,smb_files,LOW,92.38.241.5,smb_files: azad.hall46 performed audit operation,zeek
2026-11-19T23:41:19Z,PAYMENT-82.secure.bank,svc_replication_prod52,ApplicationManagement,MEDIUM,137.246.241.169,ApplicationManagement: svc_replication_prod52 performed reconciliation operation,azure_ad
2027-01-12T15:03:03Z,DB-70-uat.secure.bank,svc_monitor,FileDownloaded,HIGH,212.28.95.170,FileDownloaded: svc_monitor performed clearing operation,office365
2026-04-11T00:14:37Z,WKS-28.core.banking,vwilson,13,LOW,92.61.115.217,13: vwilson performed clearing operation,sysmon
2027-01-16T20:34:08Z,PAY-16,svc_archive_prod67,Audit,LOW,151.24.214.158,Audit log: read performed by svc_archive_prod67,azure_ad
2026-05-06T04:15:23Z,PAYMENT-91,iain.edwards,4698,MEDIUM,183.254.116.135,4698: iain.edwards performed transfer operation,windows_security
2026-04-12T11:28:05Z,COMP-27-uat.financial.local,kayleigh.sheth,4688,LOW,10.64.199.216,"A new process was created. Process: svchost.exe, Command line: netstat -tulpn | grep LISTEN",windows_security
2027-01-06T23:39:46Z,CORE_BANK-63-sandbox,eleanor.chokshi,Suspicious,MEDIUM,174.162.156.212,Suspicious: eleanor.chokshi performed settlement operation,sentinel_one
2/12/2022,FS-39.bank.internal,svc_secrets_prod,FileDownloaded,MEDIUM,172.26.237.233,FileDownloaded: svc_secrets_prod performed swift operation,sharepoint
23/7/2021,AUDIT-29.financial.local,carolyn.ford59,ConsoleLogin,HIGH,152.156.110.6,ConsoleLogin: carolyn.ford59 performed transaction operation,aws_cloudtrail
2027-02-02T18:50:07Z,DC-34-prod.core.banking,david.simmons,TRAFFIC,HIGH,10.12.93.123,TRAFFIC: david.simmons performed balance operation,palo_alto
2026-11-24T07:31:51Z,CORE-55,mbedi,Prevention,CRITICAL,185.66.2.118,Prevention: mbedi performed settlement operation,crowdstrike
2027-02-08T02:02:42Z,COMP-01.financial.local,bishakha_frazier,106001,LOW,192.168.0.106,106001: bishakha_frazier performed transaction operation,cisco_asa
2026-08-07T05:54:41Z,PROXY-94,macevedo,FileDownloaded,MEDIUM,172.24.152.32,FileDownloaded: macevedo performed clearing operation,sharepoint
2026-06-30T06:32:13Z,WKS-49-dr,fiyaz_mitchell,shell_in_container,MEDIUM,135.40.234.1,shell_in_container: fiyaz_mitchell performed payment operation,falco
2026-11-06T08:08:05Z,COMP-90-dev.financial.local,janaki_brown,dns,MEDIUM,195.180.205.174,dns: janaki_brown performed audit operation,zeek
2026-08-03T12:31:10Z,DB-53-sandbox,iain_shaw,Detection,LOW,112.42.235.112,Detection: iain_shaw performed transfer operation,crowdstrike
2026-12-29T05:04:13Z,PROXY-46.bank.internal,bernard_bailey,Prevention,MEDIUM,20.81.112.251,Prevention: bernard_bailey performed clearing operation,crowdstrike
2026-04-01T21:21:03Z,WEB-98-uat.core.banking,compliance,TRAFFIC,LOW,100.155.180.53,TRAFFIC: compliance performed audit operation,palo_alto
2026-03-22T02:50:21Z,HR-94,katherine.gould,ApplicationManagement,MEDIUM,30.118.128.128,ApplicationManagement: katherine.gould performed clearing operation,azure_ad
2026-05-30T00:11:31Z,WEB-31-prod.core.banking,manbir.stewart,Detection,LOW,90.238.17.115,Detection: manbir.stewart performed payment operation,crowdstrike
2026-06-01T20:38:20Z,CRM-34.financial.local,bernard.merchant65,smb_files,LOW,10.197.99.201,smb_files: bernard.merchant65 performed payment operation,zeek
2026-09-03T14:56:31Z,FS-75.financial.local,victoria.ryan,smb_files,LOW,172.18.250.150,smb_files: victoria.ryan performed clearing operation,zeek
2027-01-05T16:44:50Z,COMP-73.bank.internal,amunoz,106023,MEDIUM,76.245.219.16,106023: amunoz performed transfer operation,cisco_asa
2023-4-12T11:48:36Z,,svc_audit,Suspicious,HIGH,47.253.236.73,Suspicious: svc_audit performed transaction operation,sentinel_one
2027-02-17T06:45:48Z,MON-71,kirsty.mane,shell_in_container,CRITICAL,69.65.208.22,shell_in_container: kirsty.mane performed transfer operation,falco
2026-04-04T04:00:06Z,CORE_BANK-74-dr.financial.local,fraud_analyst,4688,MEDIUM,192.168.154.216,"A new process was created. Process: svchost.exe_v10.6, Command line: netstat -tulpn | grep LISTEN",windows_security
2023-1-31T22:57:8Z,BRANCH-91.secure.bank,svc_etl,URL,HIGH,138.240.231.131,URL: svc_etl performed reconciliation operation,palo_alto
2026-09-07T14:38:14Z,PROXY-03-prod,tejas.baker,13,CRITICAL,10.127.145.115,13: tejas.baker performed swift operation,sysmon
2026-08-05T01:19:43Z,HR-37-dev,gregory_phillips,FileDownloaded,CRITICAL,10.124.69.114,FileDownloaded: gregory_phillips performed balance operation,sharepoint
2026-12-22T12:39:48Z,FS-18-uat.financial.local,kallen19,Detection,LOW,172.22.192.161,Detection: kallen19 performed swift operation,crowdstrike
2026-11-15T01:13:06Z,OPS-55-dr.core.banking,svc_monitor,10,LOW,10.182.168.240,Process accessed: python.exe accessed lsass.exe,sysmon
2026-11-19T10:00:59Z,SWIFT-27-prod,risk_manager,SYSCALL,HIGH,192.168.168.147,SYSCALL: risk_manager performed payment operation,auditd
2026-07-31T10:46:03Z,PROXY-46.bank.internal,kimberly_wilson59,http,MEDIUM,172.28.4.191,http: kimberly_wilson59 performed transaction operation,zeek
2026-12-03T17:34:28Z,DC-80,domain_admin,workflow_run,LOW,172.25.168.189,,github_actions
2026-12-31T22:19:23Z,PAYMENT-49-dr,diane.collins73,Threat,LOW,32.85.237.235,Threat: diane.collins73 performed payment operation,sentinel_one
2026-03-03T03:55:53Z,PROXY-21,lbennett,workflow_run,LOW,172.30.250.174,workflow_run: lbennett performed swift operation,github_actions
2026-07-30T20:29:27Z,APP-57.secure.bank,svc_monitor31,dns,MEDIUM,70.180.192.71,dns: svc_monitor31 performed transfer operation,zeek
2026-09-25T22:30:12Z,PAY-58-prod,fraud_analyst,FileDownloaded,LOW,10.203.163.60,FileDownloaded: fraud_analyst performed transaction operation,office365
2026-09-04T08:13:39Z,PAY-43-dr,nhogan,CreateUser,MEDIUM,213.222.31.185,CreateUser: nhogan performed audit operation,aws_cloudtrail
2026-06-05T11:28:54Z,DB-15-dr,pmartin,DeleteUser,LOW,172.29.220.201,DeleteUser: pmartin performed audit operation,aws_cloudtrail
2026-03-31T08:41:38Z,WEB-14.core.banking,svc_reporting_prod,12,LOW,30.246.239.65,12: svc_reporting_prod performed payment operation,sysmon
2026-04-22T20:18:35Z,CORE_BANK-37.core.banking,admin,DeleteUser,MEDIUM,66.107.162.65,DeleteUser: admin performed reconciliation operation,aws_cloudtrail
2026-04-22T16:14:03Z,CORE-39,farhan_chahal,PATH,MEDIUM,10.222.137.67,PATH: farhan_chahal performed transaction operation,auditd
invalid-timestamp,OPS-83-dev.financial.local,samarth.chambers,12,MEDIUM,91.165.168.99,12: samarth.chambers performed transaction operation,sysmon
2026-06-26T16:21:46Z,APP-96,svc_audit_prod77,read_sensitive_file,LOW,172.20.135.119,read_sensitive_file: svc_audit_prod77 performed settlement operation,falco
2026-12-23T22:22:57Z,AUDIT-40-dev,svc_etl84,4625,CRITICAL,192.168.101.54,"An account failed to log on. Account: svc_etl84, Source IP: 192.168.101.54",windows_security
2026-12-29T17:33:37Z,WKS-17.secure.bank,brian.garcia,Detection,LOW,192.168.232.215,Detection: brian.garcia performed reconciliation operation,crowdstrike
2026-12-09T00:28:38Z,BRANCH-19.financial.local,erin.sridhar,job_execution,LOW,10.213.95.185,job_execution: erin.sridhar performed transaction operation,github_actions
2026-12-09T22:20:43Z,TRADING-80-sandbox,donna_taylor,Detection,HIGH,61.244.57.145,Detection: donna_taylor performed transaction operation,crowdstrike
2027-01-30T00:56:06Z,FINANCE-26,,FileDeleted,LOW,120.227.33.200,FileDeleted: deborah_vyas performed transaction operation,sharepoint
2026-10-05T07:34:05Z,DC-39.financial.local,domain_admin,SYSCALL,LOW,214.86.112.255,SYSCALL: domain_admin performed balance operation,auditd
2027-01-03T00:21:28Z,OPS-76-prod.bank.internal,sskinner,write_binary_dir,HIGH,174.157.232.88,write_binary_dir: sskinner performed transfer operation,falco
2020-5-15T12:19:59Z,AUDIT-42,kchopra91,Send,LOW,119.243.191.226,Send: kchopra91 performed audit operation,office365
2026-07-01T03:35:59Z,ATM-53.financial.local,owen.cole,MailItemsAccessed,LOW,108.246.35.236,MailItemsAccessed: owen.cole performed swift operation,office365
2026-05-31T16:17:30Z,FS-19,svc_scanner,shell_in_container,LOW,192.168.189.59,shell_in_container: svc_scanner performed balance operation,falco
2026-12-14T11:57:48Z,ATM-32.core.banking,svc_backup,4648,LOW,192.168.207.231,4648: svc_backup performed balance operation,windows_security
2026-04-04T13:20:12Z,AUDIT-73-dr,svc_replication_prod,FileDeleted,MEDIUM,145.84.200.40,FileDeleted: svc_replication_prod performed settlement operation,sharepoint
2026-11-03T15:41:34Z,RISK-09-sandbox.core.banking,alice_thomas,conn,LOW,192.168.40.237,conn: alice_thomas performed clearing operation,zeek
2026-03-10T08:53:00Z,HR-81,svc_deploy_prod97,THREAT,CRITICAL,192.168.4.235,THREAT: svc_deploy_prod97 performed audit operation,palo_alto
2026-11-15T10:16:44Z,TRADING-26,svc_replication_prod98,ssl,LOW,172.29.150.191,ssl: svc_replication_prod98 performed settlement operation,zeek
2026-08-30T10:09:18Z,FINANCE-82,svc_replication,workflow_run,LOW,192.168.33.118,workflow_run: svc_replication performed swift operation,github_actions
2026-06-18T23:56:58Z,,svc_archive_prod,Threat,CRITICAL,102.234.129.211,Threat: svc_archive_prod performed reconciliation operation,sentinel_one
2026-12-20T17:34:49Z,BRANCH-72.core.banking,kristen.green38,ApplicationManagement,MEDIUM,220.184.76.96,ApplicationManagement: kristen.green38 performed clearing operation,azure_ad
2026-06-08T05:50:29Z,BRANCH-59-dr,ridhi.misra,New-InboxRule,LOW,10.83.176.120,New-InboxRule: ridhi.misra performed audit operation,office365
2026-03-17T01:08:53Z,TRADING-67,tina_long,workflow_run,LOW,43.111.127.77,workflow_run: tina_long performed reconciliation operation,github_actions
2026-05-15T11:27:10Z,WEB-52-uat.financial.local,admin,FileDownloaded,MEDIUM,208.84.74.167,FileDownloaded: admin performed transaction operation,office365
2026-10-20T07:54:03Z,AUDIT-23.bank.internal,wbyrne,302015,HIGH,31.5.43.163,302015: wbyrne performed audit operation,cisco_asa
2026-07-22T08:35:28Z,COMP-66,svc_archive_prod,Threat,MEDIUM,115.132.63.120,Threat: svc_archive_prod performed settlement operation,sentinel_one
